CERES - EBAFTOA42 Data
Parameter: Incoming Solar Flux (W m-2)
Time Range: September - 2023
Time Resolution: MON
Selected Region: [-90,0 to 90,360]
Valid Range: 0 - 800
Satellite: -

Latitude  Longitude  Data
-88.5     233.5     10.52
-88.5     234.5     10.52
-88.5     235.5     10.52
-88.5     236.5     10.53
-88.5     237.5     10.53
-88.5     238.5     10.53
-88.5     239.5     10.53
-88.5     240.5     10.53
-88.5     241.5     10.53
-88.5     242.5     10.53
-88.5     243.5     10.53
-88.5     244.5     10.55
-88.5     245.5     10.55
-88.5     246.5     10.55
-88.5     247.5     10.55
-88.5     248.5     10.55
-88.5     249.5     10.55
-88.5     250.5     10.55
-88.5     251.5     10.55
-88.5     252.5     10.56
-88.5     253.5     10.56
-88.5     254.5     10.56
-88.5     255.5     10.56
-88.5     256.5     10.56
-88.5     257.5     10.56
-88.5     258.5     10.56
-88.5     259.5     10.56
-88.5     260.5     10.56
-88.5     261.5     10.56
-88.5     262.5     10.56
-88.5     263.5     10.56
-88.5     264.5     10.56
-88.5     265.5     10.56
-88.5     266.5     10.56
-88.5     267.5     10.56
-88.5     268.5     10.56
-88.5     269.5     10.56
-88.5     270.5     10.56
-88.5     271.5     10.56
-88.5     272.5     10.56
-88.5     273.5     10.56
-88.5     274.5     10.56
-88.5     275.5     10.56
-88.5     276.5     10.56
-88.5     277.5     10.56
-88.5     278.5     10.56
-88.5     279.5     10.56
-88.5     280.5     10.56
-88.5     281.5     10.56
-88.5     282.5     10.56
-88.5     283.5     10.56
-88.5     284.5     10.56
-88.5     285.5     10.56
-88.5     286.5     10.56
-88.5     287.5     10.56
-88.5     288.5     10.56
-88.5     289.5     10.56
-88.5     290.5     10.56
-88.5     291.5     10.56
-88.5     292.5     10.55
-88.5     293.5     10.55
-88.5     294.5     10.55
-88.5     295.5     10.55
-88.5     296.5     10.55
-88.5     297.5     10.55
-88.5     298.5     10.55
-88.5     299.5     10.55
-88.5     300.5     10.53
-88.5     301.5     10.53
-88.5     302.5     10.53
-88.5     303.5     10.53
-88.5     304.5     10.53
-88.5     305.5     10.53
-88.5     306.5     10.53
-88.5     307.5     10.53
-88.5     308.5     10.52
-88.5     309.5     10.52
